Geneid	eco_gluc_1	eco_gluc_2	eco_gluc_3	eco_glyc_1	eco_glyc_2	eco_glyc_3
cds-BAA31759.1	0	0	0	0	0	2
cds-BAA31771.1	113	145	196	305	171	228
cds-BAA31772.3	80	101	162	129	84	42
cds-BAA31813.1	13	7	16	23	21	30
cds-BAA31816.1	1	0	1	1	1	0
cds-BAB33424.1	1758	2222	2254	1598	976	2156
cds-BAB33425.1	723	661	756	339	193	200
cds-BAB33426.1	409	392	536	221	149	122
cds-BAB33427.1	486	515	601	257	210	165
cds-BAB33428.1	87	95	96	288	245	169
cds-BAB33429.1	366	360	423	543	311	282
cds-BAB33430.1	164	214	353	162	118	115
cds-BAB33431.1	4456	4155	6690	13067	10259	9041
cds-BAB33432.1	434	512	562	980	742	640
cds-BAB33433.1	190	226	169	471	291	283
cds-BAB33434.1	56	48	64	69	61	41
cds-BAB33436.1	17	9	18	17	14	22
cds-BAB33437.1	18466	16808	21807	33016	18525	17835
cds-BAB33438.1	1360	1292	1381	3166	2093	2025
cds-BAB33439.1	63	78	112	175	88	101
cds-BAB33440.1	1999	2234	3084	2235	1435	1460
cds-BAB33441.2	921	1118	1384	951	704	562
cds-BAB33445.1	2	5	2	3	3	1
cds-BAB33446.1	5	3	11	21	17	41
cds-BAB33447.1	0	0	0	0	1	1
cds-BAB33448.1	3	2	0	2	1	2
cds-BAB33449.1	9472	20128	11827	52260	29166	43641
cds-BAB33451.1	1363	1340	1751	2217	1497	1107
cds-BAB33452.1	6873	6275	8759	8217	5031	4652
cds-BAB33453.1	562	494	653	885	573	537
cds-BAB33454.1	490	466	627	880	545	515
cds-BAB33455.1	706	856	953	1466	985	825
cds-BAB33456.1	66	48	68	73	67	56
cds-BAB33457.1	2445	2706	2951	1088	647	546
cds-BAB33458.1	3323	2500	2235	2002	888	673
cds-BAB33459.1	10787	9371	10596	4783	2312	1810
cds-BAB33460.2	238	230	382	105	94	66
cds-BAB33461.2	60	92	104	94	32	100
cds-BAB33462.2	7	11	8	5	5	1
cds-BAB33463.2	151	207	218	186	89	190
cds-BAB33464.1	101	102	123	102	71	53
cds-BAB33465.1	148	240	257	151	109	112
cds-BAB33466.1	18	12	12	20	10	4
cds-BAB33467.2	6	9	13	8	7	13
cds-BAB33468.1	10	10	15	10	8	6
cds-BAB33469.1	12	10	16	17	6	10
cds-BAB33470.1	2	0	9	4	5	3
cds-BAB33471.1	17	19	10	15	12	18
cds-BAB33472.1	122	93	158	132	92	89
cds-BAB33473.1	403	410	482	336	196	154
cds-BAB33474.2	749	951	749	2290	994	1025
cds-BAB33476.1	0	0	1	0	1	1
cds-BAB33477.1	453	474	486	878	617	451
cds-BAB33478.1	559	612	628	783	504	374
cds-BAB33479.1	1227	1231	1378	2012	1245	1076
cds-BAB33480.1	813	981	944	1283	828	647
cds-BAB33481.1	2934	3253	4295	5423	3552	4315
cds-BAB33482.1	4371	4687	5396	7613	4717	3946
cds-BAB33483.1	613	829	882	1325	846	739
cds-BAB33484.1	198	233	281	513	325	300
cds-BAB33485.1	162	179	171	480	274	224
cds-BAB33486.1	491	456	564	1625	925	781
cds-BAB33487.1	381	372	506	801	647	497
cds-BAB33488.1	14	22	26	22	14	45
cds-BAB33489.1	1	5	5	4	3	1
cds-BAB33490.1	1	0	2	1	0	1
cds-BAB33491.1	72	73	157	56	40	43
cds-BAB33492.1	156	176	160	483	313	273
cds-BAB33493.1	96	86	82	182	89	106
cds-BAB33494.1	52	49	47	124	73	68
cds-BAB33495.1	70	55	68	201	138	123
cds-BAB33496.1	1	2	0	0	0	2
cds-BAB33497.1	132	86	180	292	173	269
cds-BAB33498.1	74	98	113	153	89	93
cds-BAB33499.1	92	83	121	91	40	48
cds-BAB33500.2	67	43	92	54	35	39
cds-BAB33501.1	113	102	132	78	53	50
cds-BAB33502.1	411	407	727	111	105	176
cds-BAB33503.1	53	106	149	67	48	76
cds-BAB33504.2	289	370	457	172	125	158
cds-BAB33505.1	122	131	219	49	32	35
cds-BAB33506.1	10	14	12	15	4	2
cds-BAB33507.1	762	843	1115	1218	800	800
cds-BAB33508.1	1303	1592	1785	1874	899	848
cds-BAB33509.1	1122	1210	1740	1794	1105	1012
cds-BAB33510.1	379	442	654	659	477	969
cds-BAB33511.1	24838	31001	34034	48276	26210	50154
cds-BAB33512.1	2337	2402	2920	3256	2017	1831
cds-BAB33513.1	1614	1612	1879	2070	1326	1243
cds-BAB33514.1	931	946	1003	1369	802	776
cds-BAB33515.1	1368	1443	1535	1910	1140	1138
cds-BAB33516.1	1261	1428	1635	2118	1300	1110
cds-BAB33517.1	912	1094	1227	1591	970	800
cds-BAB33518.1	1690	1717	1996	2083	1387	1071
cds-BAB33519.1	1200	1319	1619	1555	962	809
cds-BAB33520.1	1415	1603	1732	2034	1227	934
cds-BAB33521.1	2608	2971	3488	4015	2449	2007
cds-BAB33522.1	5217	5019	6721	6359	3901	3115
cds-BAB33523.1	4993	5633	6338	9667	6224	6016
cds-BAB33524.2	697	784	847	1610	1043	971
cds-BAB33525.1	3967	4643	4743	8203	4877	4313
cds-BAB33526.1	129	177	156	268	173	128
cds-BAB33528.1	233	289	285	393	202	173
cds-BAB33529.1	499	473	519	861	574	449
cds-BAB33530.1	389	433	509	728	466	474
cds-BAB33531.1	523	399	642	828	560	598
cds-BAB33533.1	73	100	104	169	87	125
cds-BAB33534.1	121	125	147	221	135	160
cds-BAB33535.1	7	2	8	21	7	6
cds-BAB33536.1	400	395	595	1177	918	634
cds-BAB33537.1	311	313	375	211	113	118
cds-BAB33538.1	215	203	291	144	139	110
cds-BAB33539.2	329	363	512	370	285	285
cds-BAB33540.1	336	380	114	1808	1054	1024
cds-BAB33541.1	22568	18982	24854	34163	19373	16449
cds-BAB33542.1	11707	9859	14569	16775	9533	8463
cds-BAB33543.1	11185	10476	12261	16610	10904	8971
cds-BAB33544.1	81	81	144	80	49	42
cds-BAB33545.1	5257	3810	4664	12592	10898	10458
cds-BAB33546.2	525	794	1113	1085	722	632
cds-BAB33547.1	338	297	310	687	512	324
cds-BAB33548.1	413	520	534	916	545	425
cds-BAB33549.2	136	249	289	359	360	299
cds-BAB33550.1	847	739	985	542	335	369
cds-BAB33551.1	3024	2630	2147	2201	1212	1028
cds-BAB33552.2	872	1043	1283	1322	626	537
cds-BAB33553.1	3948	3767	4001	8132	4476	4707
cds-BAB33554.1	415	437	678	405	232	219
cds-BAB33555.1	349	390	495	320	223	221
cds-BAB33556.1	70	84	133	111	81	79
cds-BAB33557.1	226	284	299	347	274	270
cds-BAB33558.1	852	730	1260	1158	799	883
cds-BAB33559.1	337	443	593	925	588	672
cds-BAB33560.1	1801	1619	2634	2126	1313	1091
cds-BAB33561.1	828	744	1194	1069	668	608
cds-BAB33562.1	1	1	1	2	0	1
cds-BAB33563.1	0	0	1	1	0	2
cds-BAB33565.2	2	0	1	0	1	0
cds-BAB33566.1	0	3	4	0	4	3
cds-BAB33567.1	0	1	2	0	0	1
cds-BAB33568.1	0	0	0	2	1	1
cds-BAB33569.1	45	62	58	213	92	105
cds-BAB33570.2	861	824	807	3011	1798	1771
cds-BAB33571.1	147	180	229	359	212	190
cds-BAB33572.1	1836	1846	2956	1799	1113	949
