"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"cds-BAB33425.1",480.026073389589,-1.6561823420029,0.181035839058784,-9.14836725486783,5.78005030989866e-20,1.14288612200949e-18
"cds-BAB33426.1",302.651973478792,-1.52958893897201,0.179471527741491,-8.5227387219616,1.55824038506319e-17,2.42168888078644e-16
"cds-BAB33427.1",372.405155669322,-1.41669671794618,0.173605505160332,-8.160436598124,3.33815750791478e-16,4.64179586100571e-15
"cds-BAB33428.1",159.742683436697,1.25176172558363,0.224619158101591,5.57281816993314,2.50651145309934e-08,1.3951270911001e-07
"cds-BAB33431.1",7768.3440718094,1.03208324069095,0.154592676393676,6.67614575778939,2.45308001276575e-11,1.95211969690576e-10
"cds-BAB33446.1",16.7613609647278,2.11624491014637,0.646796151727695,3.27188853009336,0.00106831687686587,0.00288009509048943
"cds-BAB33449.1",27297.888805767,1.51287409401825,0.268502487013364,5.63448819728418,1.75578984722233e-08,9.94027880648868e-08
"cds-BAB33457.1",1729.12625043492,-1.94283367364475,0.154402856270951,-12.5828868750679,2.62267299972662e-36,1.48480758541665e-34
"cds-BAB33458.1",1939.9969435144,-1.38626271051688,0.26529157386308,-5.22543060953887,1.73750272942491e-07,8.4074765771806e-07
"cds-BAB33459.1",6610.6768019857,-1.95428931339642,0.206320857060224,-9.47208799557271,2.74304805704389e-21,6.21182825717996e-20
"cds-BAB33460.2",183.885614263023,-1.73152615980452,0.224956448610303,-7.69716169730294,1.39121803718884e-14,1.66066177149981e-13
"cds-BAB33473.1",325.762850396681,-1.03442309561827,0.187171790986906,-5.52659719802883,3.26501406689232e-08,1.79213999267233e-07
"cds-BAB33486.1",774.315803442687,1.01946152158893,0.170914472941114,5.96474660130258,2.4501397555393e-09,1.56107778958235e-08
"cds-BAB33491.1",71.7160081716414,-1.14373160669835,0.310690517984744,-3.68125687940858,0.000232087029275645,0.000699970241262848
"cds-BAB33492.1",253.058093834387,1.01110137930413,0.197769076666909,5.11253526761956,3.17863618243913e-07,1.49607306306488e-06
"cds-BAB33495.1",106.500095764094,1.16474455826237,0.245903516959356,4.73659170338294,2.17342418084898e-06,9.05707679148737e-06
"cds-BAB33501.1",87.6097986786635,-1.02287927815192,0.251968548020394,-4.0595514249228,4.91670790889824e-05,0.000164707636880505
"cds-BAB33502.1",322.251471915261,-1.93941368604666,0.291878129169222,-6.64460092151079,3.04039725792115e-11,2.39544618949136e-10
"cds-BAB33504.2",261.121661852071,-1.3316489220374,0.21064042316007,-6.32190584342614,2.58356795871403e-10,1.85147917185962e-09
"cds-BAB33505.1",96.6272707024468,-2.07523486340973,0.271592560540969,-7.64098567087477,2.15565054887204e-14,2.49790734654382e-13
"cds-BAB33537.1",238.302450823358,-1.28066383815051,0.193565076021964,-6.61619267519724,3.68567927833464e-11,2.87526515355122e-10
"cds-BAB33540.1",760.136979187404,2.04318493996239,0.590619606617536,3.45939233487974,0.000541395672358049,0.00154690054041453
"cds-BAB33545.1",7909.06711266937,1.23729957009878,0.200763984181903,6.16295584659108,7.13994212063117e-10,4.86178533059473e-09
"cds-BAB33550.1",634.016051215101,-1.12846519099874,0.169988362608796,-6.63848497438461,3.16923646059453e-11,2.48215100658816e-10
"cds-BAB33569.1",91.154270439597,1.18599044501005,0.278865490427717,4.25291219501919,2.11008328718955e-05,7.46004205327729e-05
"cds-BAB33570.2",1466.60172740375,1.28336681506831,0.174305651939374,7.36273781595266,1.80176039347463e-13,1.85464323099739e-12
"cds-BAB33573.1",1761.62100236172,-1.05767484135112,0.15510785019706,-6.81896396608792,9.16993959431117e-12,7.76008067154468e-11
"cds-BAB33577.1",531.620553807088,1.22674477224991,0.192253406165818,6.3808740594788,1.76080072083844e-10,1.27986908519494e-09
"cds-BAB33584.1",138.033971816912,1.36275885103509,0.225300710000618,6.04862208836959,1.46089892820756e-09,9.42922223532012e-09
"cds-BAB33587.1",244.835215733875,-1.2256793337854,0.19741375186042,-6.20868263854286,5.3430601121095e-10,3.66976555013691e-09
"cds-BAB33588.1",2542.06928780352,-1.96880759635086,0.148964934222995,-13.2165842023173,7.03885737539713e-40,5.07181668703615e-38
"cds-BAB33591.1",2373.7176055533,-1.9790172800316,0.141250555568299,-14.0106866983237,1.34102001577827e-44,1.15531789620202e-42
"cds-BAB33611.1",919.409502528214,-1.17973387598465,0.176074568122621,-6.70019463096492,2.08142125223671e-11,1.68340253522736e-10
"cds-BAB33621.1",286.596429084393,1.36411967834017,0.21699502262223,6.28640999160142,3.24891238487716e-10,2.2788388993395e-09
"cds-BAB33622.1",783.79268846947,-1.20687580533952,0.177542725921733,-6.79766405001328,1.06329042629243e-11,8.90871027356635e-11
"cds-BAB33626.1",307.504922547814,1.22909955875183,0.18505184533229,6.64192003351701,3.0962294589105e-11,2.43459471144093e-10
"cds-BAB33628.2",1165.39816485375,-1.27930653933365,0.163889288105589,-7.80591919167669,5.90694212756702e-15,7.22506532455188e-14
"cds-BAB33668.1",89.1140300272591,1.72965807177864,0.282861761407206,6.11485293442911,9.66460498587113e-10,6.43711421159786e-09
"cds-BAB33669.1",432.803258326794,-1.99802716731978,0.177321289896394,-11.2678357375316,1.89162473121981e-29,7.20818154790778e-28
"cds-BAB33674.1",1307.27535838137,1.29136137497464,0.151796442423523,8.50719130407315,1.78197381076513e-17,2.72662633670355e-16
"cds-BAB33687.1",4059.26538537076,-1.02913564007634,0.158811750054286,-6.48022353336293,9.1586828160851e-11,6.84827547172552e-10
"cds-BAB33688.1",1055.32992583729,1.63432083321808,0.206483070758116,7.91503549040395,2.47182571850196e-15,3.18046926052703e-14
"cds-BAB33707.1",9.08667628424868,2.50861957601562,0.810422728636113,3.09544573143631,0.00196517330781303,0.00502126487354161
"cds-BAB33740.1",548.224555033151,-2.60255820423559,0.20250871777303,-12.8515860100033,8.4264694118524e-38,5.66001665748662e-36
"cds-BAB33749.1",95.3340505421423,1.26909743227792,0.324764261539502,3.90774965897397,9.31597583129521e-05,0.000297495666554576
"cds-BAB33754.1",9.53021044885038,1.7507990561933,0.708304663254278,2.47181636239598,0.0134428549901763,0.0281724137102426
"cds-BAB33765.2",67.6945946319235,-1.94085340891372,0.298641553860124,-6.49893956091174,8.08881477976823e-11,6.08272731920711e-10
"cds-BAB33767.1",37.1735736322326,-1.20428257875492,0.376862048531942,-3.19555281155579,0.00139563238654144,0.00367745422065408
"cds-BAB33768.1",133.638519356377,-1.14105912994356,0.237319239767033,-4.80811893322972,1.523571183305e-06,6.4993677066068e-06
"cds-BAB33782.1",423.991326778535,1.03633986948985,0.287605014594959,3.60334422871364,0.000314149045639709,0.00092631894930816
"cds-BAB33783.1",469.331653648252,1.16329476689557,0.240358074157432,4.83984060437109,1.29943307430651e-06,5.62189221995273e-06
"cds-BAB33786.1",99.9429765006938,1.4012486796802,0.276905428970395,5.06038716860986,4.1840599872542e-07,1.92137076819101e-06
"cds-BAB33790.1",19.9649794903283,-1.62994401510872,0.51492227961906,-3.16541753896248,0.00154860549802366,0.00403227568243612
"cds-BAB33792.1",15.3403659167627,-1.33125961174644,0.532260704999889,-2.50114201413143,0.0123793526230187,0.0261510524760252
"cds-BAB33802.1",824.194385207285,-1.74828613399077,0.170026662254856,-10.2824234199824,8.45738439336807e-25,2.3940438822084e-23
