"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ScpofMp07",73.8847193095377,3.30090687916543,0.325179183730397,10.1510399321938,3.27851028484915e-24,1.761360289254e-22
"ScpofMr11",3427.33545714529,0.737256833834511,0.0811264424891031,9.0877500752426,1.01109638660888e-19,3.61189039048815e-18
"ScpofMt13",13.0705179200832,0.0790546226343405,0.585648909436163,0.134986373850591,0.892622647813452,0.930536948209501
"ScpofMt14",5.82871942674411,-0.193131639079103,0.826423198383007,-0.233695810399548,0.815221140522601,0.877050432321934
"ScpofMt15",8.85691127005241,-1.23067198277692,0.732350438810766,-1.68044138100793,0.0928714704699716,0.177895014883946
"ScpofMr12",1531.06784241863,0.743308026606687,0.0912860280541007,8.14262645063454,3.86794197340527e-16,9.63174017684092e-15
"ScpofMt16",5.26639012979024,0.48166510185812,0.855611912388888,0.562948101684676,0.573470224280364,0.695786390886337
"ScpofMp01",2202.97566652344,0.978573142109937,0.223153607063162,4.38519975091847,1.15879392901557e-05,7.09735276272284e-05
"ScpofMp02",280.373904717538,1.71212331738659,0.352165049727976,4.86170708509857,1.16377745429634e-06,8.68758596352728e-06
"ScpofMp03",250.154232360029,1.51034436222309,0.17993919447818,8.39363745404695,4.71328039511023e-17,1.25131175625825e-15
"ScpofMt17",4.1228251177253,1.46402571325149,1.00087594348748,1.46274443179262,0.143537323333368,0.250282432175715
"ScpofMt18",2.49105170524471,-0.00465705185982075,1.21810779761339,-0.00382318532805161,0.996949546884945,0.997973409389081
"ScpofMp04",3897.15173547731,1.02933653681479,0.220998767260855,4.65765736873916,3.19827926074045e-06,2.19855290535411e-05
"ScpofMp05",3065.17511924962,0.985273685118187,0.19470633085055,5.06030636402084,4.18583361688725e-07,3.41217954217702e-06
"ScpofMt19",28.7871348740428,0.171493358004471,0.362270850633477,0.473384368917878,0.635938979653264,0.748621749167395
"ScpofMt20",50.1271023301447,-0.425952072968991,0.278886627093803,-1.52733057661356,0.126678829873725,0.227835404361393
"ScpofMt21",41.1066950692052,-1.51238091088674,0.327769444115082,-4.61416077075121,3.94686832702304e-06,2.65838919992875e-05
"ScpofMt22",26.7607150167776,-2.46334594151031,0.470138857743331,-5.23961357573033,1.60913187943638e-07,1.40757779658903e-06
"ScpofMt23",17.1271608839334,-1.58713927997304,0.52974897136561,-2.99602144744453,0.00273527194644075,0.00922073146767059
"ScpofMt24",18.4493617386233,-0.333499344317945,0.488179540519433,-0.683148957785275,0.494512722005181,0.628784998554109
"ScpofMt25",23.721706250106,-0.0580454595164711,0.454425166396876,-0.127733813636934,0.898359629858036,0.934607997035089
"ScpofMp06",201.736505855909,2.86031481132111,0.586729233689336,4.87501669779693,1.08799251855599e-06,8.17552087456772e-06
"ScpofMt26",19.8662187471244,0.164186894343309,0.492898674513395,0.333104759320766,0.739055206931715,0.826789816008603
"ScpofMt27",24.8396304570222,-0.603222613648037,0.418049470843414,-1.4429455261145,0.149035817077158,0.257631461848859
"ScpofMt28",28.6336880609758,-0.496080158310013,0.401546216733979,-1.23542480949002,0.216672444153714,0.345186917964253
