Geneid	shi_gluc_1	shi_gluc_2	shi_gluc_3	shi_glyc_1	shi_glyc_2	shi_glyc_3
cds-CAA15715.1	589	608	569	551	484	639
cds-CAA15716.1	1425	1412	1300	802	622	882
cds-CAA15717.1	206	145	129	234	208	241
cds-CAA15718.1	102	82	101	32	31	39
cds-CAA15719.1	1721	1271	1310	1076	844	1095
cds-CAA15720.1	38	35	21	35	18	26
cds-CAA15721.1	136	112	85	90	63	112
cds-CAA15722.1	690	571	459	998	864	1015
cds-CAA15723.2	127	106	96	60	50	78
cds-CAA15724.2	385	343	340	253	250	360
cds-CAA15725.1	119	263	217	330	207	318
cds-CAA15726.1	1427	1440	1182	568	609	690
cds-CAA15727.1	65	85	59	73	57	43
cds-CAA15728.1	45	41	42	38	37	66
cds-CAA15729.1	598	525	512	235	205	259
cds-CAA15730.2	569	458	456	348	344	423
cds-CAA15821.1	283	246	188	454	363	603
cds-CAA15822.1	462	784	585	796	889	1016
cds-CAA15823.1	43	33	45	53	18	18
cds-CAA15824.1	72	35	75	41	21	39
cds-CAA15825.1	467	490	424	308	266	312
cds-CAA15826.1	206	168	191	87	62	86
cds-CAA15827.2	62	93	74	95	49	72
cds-CAA15828.1	57	50	70	6	7	11
cds-CAA15830.1	236	278	250	278	477	508
cds-CAA15832.1	69	58	36	89	68	117
cds-CAA15833.1	876	634	727	851	654	948
cds-CAA15911.1	80	105	97	125	107	89
cds-CAA15912.1	1461	1593	1609	504	441	508
cds-CAA15913.1	40	41	48	16	31	23
cds-CAA15914.1	145	125	84	109	135	123
cds-CAA15915.1	1438	1251	1175	569	435	467
cds-CAA15916.1	131	130	120	121	105	138
cds-CAA15917.1	59	54	53	46	38	53
cds-CAA15918.1	1409	1353	1380	779	540	799
cds-CAA15919.1	147	129	150	83	89	120
cds-CAA15920.1	192	81	102	2331	3140	3633
cds-CAA15921.1	232	230	210	284	302	357
cds-CAA15922.1	125	104	118	93	94	136
cds-CAA15923.1	580	644	579	333	353	426
cds-CAA15924.1	215	210	218	197	161	200
cds-CAA16822.2	63	59	83	40	66	69
cds-CAA16823.1	1231	1377	1171	606	572	689
cds-CAA16824.1	256	282	218	92	69	97
cds-CAA16825.1	21	19	9	16	12	13
