"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"cds-CAA15718.1",61.3421820507681,-1.18790227798766,0.269615368728922,-4.40591455742274,1.05338482209726e-05,4.27916549935035e-05
"cds-CAA15722.1",784.596221284525,1.04527221650499,0.130391580764947,8.01640880778393,1.08881695980105e-15,1.19656487519033e-14
"cds-CAA15821.1",364.247445704803,1.27266900032406,0.158227359644963,8.04329291204583,8.74559438833279e-16,9.73306193852529e-15
"cds-CAA15828.1",30.9027386189138,-2.59484424310143,0.431858869630971,-6.00854683225277,1.87193546009083e-09,1.2190350512192e-08
"cds-CAA15830.1",348.529400982512,1.03826352845282,0.196618658532713,5.28059511849469,1.2876495436641e-07,6.80060807796014e-07
"cds-CAA15832.1",73.8212328191183,1.03774158612675,0.262768928491181,3.94925530992368,7.83947019962221e-05,0.000276118735701375
"cds-CAA15912.1",963.945661867025,-1.38390579393005,0.10958087919866,-12.6290809496167,1.45973153460896e-36,3.6572387118331e-35
"cds-CAA15915.1",846.91846018858,-1.09105669763032,0.124833069490306,-8.74012552991851,2.32851551133948e-18,2.90978621392447e-17
"cds-CAA15920.1",1736.77055824471,4.9106272246794,0.424081257389819,11.579448841724,5.23817460127549e-31,1.1100565009203e-29
"cds-CAA16824.1",159.652520696147,-1.25652520957208,0.180989793586252,-6.94251971160611,3.85167186197287e-12,3.20615435188118e-11
"cds-CAA16838.1",400.316485014451,1.32061016090017,0.194057243590255,6.80526084194306,1.00866312164947e-11,8.09157829133946e-11
"cds-CAA16840.2",449.322211987308,-1.31179537802807,0.128452234157907,-10.2123204522506,1.74637575421269e-24,2.92173259405452e-23
"cds-CAA16845.1",248.965124591983,1.24433597873915,0.167347060931862,7.43566078669171,1.0404652345582e-13,1.02167112126046e-12
"cds-CAA16850.1",61.9752543566559,1.12164236123523,0.267861431334759,4.18739777371481,2.82171044714979e-05,0.00010709865174779
"cds-CAA16859.1",1606.55014140556,-1.82940281980191,0.113793717270578,-16.07648351492,3.72957000037143e-58,1.87807851701872e-56
"cds-CAA16918.1",1026.06569659509,-2.27051219846194,0.122260914340715,-18.5710389187382,5.51259470695388e-77,4.45032645707419e-75
"cds-CAA16982.1",861.725050867196,-1.62446885409272,0.110668685834664,-14.6786676090076,8.83086573644462e-49,3.18537469046506e-47
"cds-CAA16984.1",1422.63028457834,-1.60862612432035,0.103319457853294,-15.5694402365573,1.17430374401593e-54,4.97709070172085e-53
"cds-CAA16985.1",993.952528380376,-2.75720045235493,0.123875823258919,-22.2577770207183,9.48346730331918e-110,2.09708324802962e-107
"cds-CAA16986.1",804.448306169671,-1.19936271920359,0.121627087385384,-9.86098364259373,6.14444615442331e-23,9.55677466097767e-22
