# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-a" "ref/eco_gff.gff" "-o" "counts/eco_glyc_1_gene_counts.txt" "-t" "CDS" "-g" "ID" "star/eco_glyc_1Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	star/eco_glyc_1Aligned.sortedByCoord.out.bam
cds-BAB33424.1	BA000007.3	190	273	+	84	1598
cds-BAB33425.1	BA000007.3	354	2816	+	2463	339
cds-BAB33426.1	BA000007.3	2818	3750	+	933	221
cds-BAB33427.1	BA000007.3	3751	5037	+	1287	257
cds-BAB33428.1	BA000007.3	5251	5547	+	297	288
cds-BAB33429.1	BA000007.3	5700	6476	-	777	543
cds-BAB33430.1	BA000007.3	6546	7976	-	1431	162
cds-BAB33431.1	BA000007.3	8255	9208	+	954	13067
cds-BAB33432.1	BA000007.3	9323	9910	+	588	980
cds-BAB33433.1	BA000007.3	9945	10511	-	567	471
cds-BAB33434.1	BA000007.3	10660	11373	-	714	69
cds-BAB33436.1	BA000007.3	11399	11803	-	405	17
cds-BAB33437.1	BA000007.3	12180	14096	+	1917	33016
cds-BAB33438.1	BA000007.3	14185	15315	+	1131	3166
cds-BAB33439.1	BA000007.3	15419	15628	-	210	175
cds-BAB33440.1	BA000007.3	16157	17323	+	1167	2235
cds-BAB33441.2	BA000007.3	17389	18288	+	900	951
cds-ECs_0019	BA000007.3	18326	19286	-	961	56
cds-BAB33445.1	BA000007.3	19299	21749	-	2451	3
cds-BAB33446.1	BA000007.3	21762	22445	-	684	21
cds-BAB33447.1	BA000007.3	22495	23028	-	534	0
cds-BAB33448.1	BA000007.3	23330	24751	-	1422	2
cds-BAB33449.1	BA000007.3	25221	25484	-	264	52260
cds-BAB33451.1	BA000007.3	25819	26760	+	942	2217
cds-BAB33452.1	BA000007.3	26803	29619	+	2817	8217
cds-BAB33453.1	BA000007.3	29619	30113	+	495	885
cds-BAB33454.1	BA000007.3	30201	30650	+	450	880
cds-BAB33455.1	BA000007.3	30652	31602	+	951	1466
cds-BAB33456.1	BA000007.3	31668	32582	+	915	73
cds-BAB33457.1	BA000007.3	32749	33570	+	822	1088
cds-BAB33458.1	BA000007.3	34026	35174	+	1149	2002
cds-BAB33459.1	BA000007.3	35192	38413	+	3222	4783
cds-BBE29392.1	BA000007.3	38421	38639	-	219	22
cds-BAB33460.2	BA000007.3	38674	39069	+	396	105
cds-BAB33461.2	BA000007.3	39188	39778	-	591	94
cds-BAB33462.2	BA000007.3	39784	40569	-	786	5
cds-BAB33463.2	BA000007.3	40678	42231	-	1554	186
cds-BAB33464.1	BA000007.3	42305	43522	-	1218	102
cds-BAB33465.1	BA000007.3	43651	44793	-	1143	151
cds-BAB33466.1	BA000007.3	44824	46338	-	1515	20
cds-BAB33467.2	BA000007.3	46817	47587	+	771	8
cds-BAB33468.1	BA000007.3	47602	48543	+	942	10
cds-BAB33469.1	BA000007.3	48594	49880	+	1287	17
cds-BAB33470.1	BA000007.3	49877	50164	+	288	4
cds-BAB33471.1	BA000007.3	50222	51553	+	1332	15
cds-BAB33472.1	BA000007.3	51661	52191	+	531	132
cds-BAB33473.1	BA000007.3	52184	54046	+	1863	336
cds-BAB33474.2	BA000007.3	54127	54717	+	591	2290
cds-BAB33475.1	BA000007.3	54803	55036	+	234	0
cds-BAB33476.1	BA000007.3	55039	55353	+	315	0
cds-BAB33477.1	BA000007.3	55350	56198	-	849	878
cds-BAB33478.1	BA000007.3	56205	56582	-	378	783
cds-BAB33479.1	BA000007.3	56585	57406	-	822	2012
cds-BAB33480.1	BA000007.3	57403	58392	-	990	1283
cds-BAB33481.1	BA000007.3	58392	59678	-	1287	5423
cds-BAB33482.1	BA000007.3	59731	62085	-	2355	7613
cds-BAB33483.1	BA000007.3	62340	63155	+	816	1325
cds-BAB33484.1	BA000007.3	63450	64202	+	753	513
cds-BAB33485.1	BA000007.3	64620	65279	-	660	480
cds-BAB33486.1	BA000007.3	65291	68197	-	2907	1625
cds-BAB33487.1	BA000007.3	68361	70712	-	2352	801
cds-BAB33488.1	BA000007.3	70787	71482	-	696	22
cds-BAB33489.1	BA000007.3	71682	73184	-	1503	4
cds-BAB33490.1	BA000007.3	73195	74895	-	1701	1
cds-BAB33491.1	BA000007.3	75234	76112	+	879	56
cds-BAB33492.1	BA000007.3	76198	76962	+	765	483
cds-BAB33493.1	BA000007.3	77049	77747	-	699	182
cds-BAB33494.1	BA000007.3	77731	79341	-	1611	124
cds-BAB33495.1	BA000007.3	79317	80300	-	984	201
cds-BAB33496.1	BA000007.3	80672	81241	+	570	0
cds-BAB33497.1	BA000007.3	81470	83128	-	1659	292
cds-BAB33498.1	BA000007.3	83456	84061	-	606	153
cds-BAB33499.1	BA000007.3	84072	85472	-	1401	91
cds-BAB33500.2	BA000007.3	85475	86566	-	1092	54
cds-BAB33501.1	BA000007.3	86566	88137	-	1572	78
cds-BAB33502.1	BA000007.3	88230	88316	-	87	111
cds-BAB33503.1	BA000007.3	88974	89918	+	945	67
cds-BAB33504.2	BA000007.3	90236	91960	+	1725	172
cds-BAB33505.1	BA000007.3	91963	92454	+	492	49
