# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-a" "ref/shizo_gff.gff" "-o" "counts/shi_glyc_1_gene_counts.txt" "-t" "CDS" "-g" "ID" "star/shi_glyc_1Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	star/shi_glyc_1Aligned.sortedByCoord.out.bam
cds-CAC05745.1	CU329670.1	1	5662	-	5662	0
cds-SPOM_SPAC212.10	CU329670.1	5726	6331	-	606	0
cds-SPOM_SPAC212.09C	CU329670.1	7619	9274	+	1656	0
cds-CAC05742.1	CU329670.1	12158	12994	+	837	3
cds-SPOM_SPAC212.07C	CU329670.1	13665	14555	+	891	4
cds-CBA11488.2	CU329670.1	15855	16226	+	372	2
cds-CAO77631.2	CU329670.1;CU329670.1	18072;18349	18306;18557	+;+	444	2
cds-SPOM_SPAC212.05C	CU329670.1	20824	21015	+	192	0
cds-CAC05738.1	CU329670.1;CU329670.1	21587;22132	22076;22508	+;+	867	47
cds-CAC05737.1	CU329670.1	23589	23978	-	390	0
cds-CAC05736.1	CU329670.1	27353	27763	-	411	1
cds-CAC05735.1	CU329670.1;CU329670.1	28738;29286	29227;29638	+;+	843	0
cds-CAB69623.1	CU329670.1	29764	30716	+	953	0
cds-CCD31307.1	CU329670.1;CU329670.1;CU329670.1	31327;31768;32163	31557;31913;32187	-;-;-	402	500
cds-CAB69624.1	CU329670.1	32230	32670	+	441	0
cds-CAB69625.1	CU329670.1	33835	34272	+	438	1
cds-CAO77633.2	CU329670.1	34349	34816	+	468	0
cds-CAB69627.1	CU329670.1	35768	36382	-	615	0
cds-CAB69628.1	CU329670.1;CU329670.1	39431;39899	39848;40050	+;+	570	1
cds-CAB69629.1	CU329670.1	42057	43307	-	1251	0
cds-CAB69630.1	CU329670.1	44704	45414	+	711	0
cds-CAB69631.1	CU329670.1;CU329670.1	46075;46208	46143;48160	-;-	2022	0
cds-CAB69632.1	CU329670.1;CU329670.1	52117;52318	52240;53600	+;+	1407	805
cds-CAB69633.1	CU329670.1	55274	56209	+	936	4
cds-CAB69634.1	CU329670.1	56492	57562	+	1071	44
cds-SPOM_SPAC977.13C	CU329670.1	58277	59105	-	829	46
cds-CAB69636.1	CU329670.1	59715	60770	-	1056	378
cds-CAB69637.1	CU329670.1	62989	63732	+	744	42
cds-CAB69638.1	CU329670.1	64904	66679	-	1776	391
cds-CAB69639.1	CU329670.1	67143	68939	+	1797	176
cds-CCD31308.1	CU329670.1	75698	75910	-	213	12
cds-CAB61210.1	CU329670.1	77578	77931	-	354	4
cds-CAB03595.1	CU329670.1	82936	84603	+	1668	5036
cds-CAB03596.1	CU329670.1	85598	86278	-	681	103
cds-CAB03597.1	CU329670.1	88367	90259	-	1893	310
cds-CAB03598.1	CU329670.1	92480	93871	-	1392	364
cds-CAB03599.1	CU329670.1	96000	96548	+	549	97
cds-CAB03600.1	CU329670.1	100011	101168	+	1158	143
cds-CAK9837008.1	CU329670.1;CU329670.1	101836;101872	101872;103544	-;-	1709	1617
cds-CAC34960.1	CU329670.1	103941	104303	+	363	16
cds-CCD31309.1	CU329670.1	106965	107198	+	234	136
cds-CAA92302.1	CU329670.1	108908	109147	-	240	207
cds-CAA92303.1	CU329670.1	109829	110281	-	453	140
cds-CAA92304.1	CU329670.1	111005	111913	-	909	113
cds-CAA92305.1	CU329670.1	112917	113309	-	393	100
cds-CAA92306.1	CU329670.1	114080	115720	+	1641	82
cds-CAA92308.3	CU329670.1	118195	120108	-	1914	229
cds-CAA92307.1	CU329670.1	116693	118060	+	1368	117
cds-CAA92309.1	CU329670.1	120556	122208	-	1653	218
cds-CAA92310.1	CU329670.1	122845	124029	+	1185	183
cds-CAA92311.1	CU329670.1	125582	126886	+	1305	72
cds-CAO77635.2	CU329670.1;CU329670.1;CU329670.1	128025;129103;129172	129059;129127;129185	-;-;-	1074	95
cds-CAK9837021.1	CU329670.1	127230	127316	+	87	13
cds-CAA92314.1	CU329670.1	130329	130997	+	669	35
cds-CAA92315.1	CU329670.1	131319	135101	-	3783	232
cds-CAA92316.1	CU329670.1	136331	140284	+	3954	1090
cds-CAA92317.1	CU329670.1	140805	141200	-	396	118
cds-CAA92318.1	CU329670.1	142675	144432	+	1758	198
cds-CAA92319.1	CU329670.1	144862	146358	-	1497	263
cds-CAA89951.1	CU329670.1	146974	147879	+	906	145
cds-CAA89952.1	CU329670.1	148213	148935	-	723	88
cds-CAA89953.1	CU329670.1	151913	152572	+	660	36
cds-CAA89955.1	CU329670.1	154807	155397	-	591	69
cds-CAA89954.1	CU329670.1	153387	154535	+	1149	54
cds-CAK9837034.1	CU329670.1	156548	157687	-	1140	81
cds-CAA89957.1	CU329670.1	159203	159472	+	270	2
cds-CAA89958.1	CU329670.1	160094	160945	-	852	195
cds-CAA89959.1	CU329670.1	160977	161780	-	804	43
cds-CAA89960.1	CU329670.1	162960	164138	+	1179	97
cds-CAA89961.1	CU329670.1	164728	165717	+	990	17
cds-CAA89962.1	CU329670.1	166420	167535	-	1116	62
cds-CAA89963.1	CU329670.1	168810	169850	-	1041	524
cds-CAA89964.2	CU329670.1	170972	174373	-	3402	718
cds-CAA91095.1	CU329670.1	175013	175771	-	759	1495
cds-CAA91096.1	CU329670.1	177292	179568	+	2277	181
cds-CAA91097.2	CU329670.1;CU329670.1;CU329670.1	180423;180586;180890	180528;180721;180911	+;+;+	264	134
cds-CAA91098.4	CU329670.1;CU329670.1;CU329670.1;CU329670.1	181077;181485;181632;182001	181436;181574;181749;182194	-;-;-;-	762	157
cds-CAA91099.2	CU329670.1	182976	186071	-	3096	825
cds-CAA91100.1	CU329670.1	186844	187563	-	720	830
cds-CAA91101.1	CU329670.1	188377	189984	+	1608	127
cds-CAA91102.1	CU329670.1;CU329670.1	190322;190730	190584;191291	+;+	825	136
cds-CAA91103.1	CU329670.1	192296	193888	-	1593	1134
cds-CAA91104.1	CU329670.1;CU329670.1	194119;195508	195258;195582	-;-	1215	312
cds-CAA91105.1	CU329670.1;CU329670.1	196090;196221	196174;198715	-;-	2580	142
cds-CAA91106.1	CU329670.1	198884	199231	+	348	8
cds-CAA91107.1	CU329670.1	200235	200867	+	633	230
cds-CAA91108.1	CU329670.1	202487	202978	-	492	10
cds-CAA91770.1	CU329670.1	205213	205893	+	681	131
cds-CAA91771.1	CU329670.1	206864	207913	-	1050	289
cds-CAA91772.1	CU329670.1	209346	211031	-	1686	48
cds-CAA91773.1	CU329670.1	212034	213206	-	1173	136
cds-CAA91774.1	CU329670.1	216483	216839	+	357	62
cds-CAA91775.1	CU329670.1	218657	221455	-	2799	273
cds-CAA91776.1	CU329670.1	222029	223852	-	1824	299
cds-CAA91777.1	CU329670.1;CU329670.1	224396;228312	228232;228683	-;-	4209	2501
cds-CAB61651.1	CU329670.1;CU329670.1;CU329670.1	230545;230743;230830	230681;230799;231136	+;+;+	501	43
cds-CAB55280.1	CU329670.1	231655	232665	+	1011	66
cds-CAB55281.1	CU329670.1;CU329670.1	233231;235103	235053;235106	-;-	1827	170
cds-CAB55282.1	CU329670.1	235653	236015	-	363	90
cds-CAO77636.1	CU329670.1	237212	237430	-	219	196
cds-CAB55283.3	CU329670.1;CU329670.1;CU329670.1;CU329670.1	241426;241589;241757;242917	241537;241709;242815;242941	-;-;-;-	1317	252
cds-CAB55285.2	CU329670.1	245304	246410	-	1107	202
cds-CAB55284.1	CU329670.1	244731	245108	+	378	42
cds-CAB55286.1	CU329670.1	247928	248383	+	456	158
cds-CAB55287.2	CU329670.1;CU329670.1	248680;250607	250549;250770	-;-	2034	95
cds-CAB55288.3	CU329670.1;CU329670.1;CU329670.1	251726;252392;253590	252337;252752;253714	-;-;-	1098	320
cds-CAB55290.3	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	256030;256345;256427;256542;256684;256797;257055;257116;257179;257229;258220;259161;259356	256134;256370;256445;256612;256750;257009;257070;257135;257181;258184;259120;259315;259461	-;-;-;-;-;-;-;-;-;-;-;-;-	2658	377
cds-CAA92239.1	CU329670.1;CU329670.1	259719;259844	259782;270747	+;+	10968	3295
